canonicalsmiles,smiles,inchikey,molecularweight
C(CC(C(=O)[O-])N)C[NH+]=C(N)N,NC(N)=NCCCC(N)C(=O)O,ODKSFYDXXFIFQN-BYPYZUCNSA-N,174.2
CN1C=CNC1=S,Cn1cc[nH]c1=S,PMRYVIKBURPHAH-UHFFFAOYSA-N,114.17
C(C(C(=O)O)O)O,O=C(O)C(O)CO,RBNPOMFGQQGHHO-UWTATZPHSA-N,106.08
C1=C(C(=O)NC(=O)N1)F,O=c1[nH]cc(F)c(=O)[nH]1,GHASVSINZRGABV-UHFFFAOYSA-N,130.08
C[N+]1=CC=CC=C1C=NO,C[n+]1ccccc1C=NO,JBKPUQTUERUYQE-UHFFFAOYSA-O,137.16
CC(C)CC(=O)C(=O)O,CC(C)CC(=O)C(=O)O,BKAJNAXTPSGJCU-UHFFFAOYSA-N,130.139
C1CN2CCN1CC2,C1CN2CCN1CC2,IMNIMPAHZVJRPE-UHFFFAOYSA-N,112.17
CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,Cn1nnc2c(C(N)=O)ncn2c1=O,BPEGJWRSRHCHSN-UHFFFAOYSA-N,194.15
C(=O)C(=O)O,O=CC(=O)O,HHLFWLYXYJOTON-UHFFFAOYSA-N,74.04
FF,FF,PXGOKWXKJXAPGV-UHFFFAOYSA-N,37.996
CCN(CC)C(=O)C1=CN=CC=C1,CCN(CC)C(=O)c1cccnc1,NCYVXEGFNDZQCU-UHFFFAOYSA-N,178.23
C(C(=O)[O-])C(=O)[O-].[Sr+2],O=C(O)CC(=O)O,LVZZABGEQTZXHP-UHFFFAOYSA-L,189.67
CC(C)CC(C(=O)O)NC(=O)C,CC(=O)NC(CC(C)C)C(=O)O,WXNXCEHXYPACJF-UHFFFAOYSA-N,173.21
CCCCCC(=O)C,CCCCCC(C)=O,CATSNJVOTSVZJV-UHFFFAOYSA-N,114.19
C1(=C(C(=O)C1=O)O)O,O=c1c(O)c(O)c1=O,PWEBUXCTKOWPCW-UHFFFAOYSA-N,114.06
C(C(CS(=O)(=O)O)S)S,O=S(=O)(O)CC(S)CS,JLVSRWOIZZXQAD-UHFFFAOYSA-N,188.3
CC(C)(CC1=CC=CC=C1)[NH3+],CC(C)(N)Cc1ccccc1,DHHVAGZRUROJKS-UHFFFAOYSA-O,150.24
C1=CC2=C(C(=C1)O)N=CC=C2,Oc1cccc2cccnc12,MCJGNVYPOGVAJF-UHFFFAOYSA-N,145.16
CC(=O)NC(CS)C(=O)[O-].[Na+],CC(=O)NC(CS)C(=O)O,KVXPBDQWIXGZEL-WCCKRBBISA-M,185.18
C1=CC(=CC(=C1)[N+](=O)[O-])CC(=O)O,O=C(O)Cc1cccc([N+](=O)[O-])c1,WUKHOVCMWXMOOA-UHFFFAOYSA-N,181.15
C(=NS(=O)(=O)Cl)=O,O=C=NS(=O)(=O)Cl,WRJWRGBVPUUDLA-UHFFFAOYSA-N,141.53
C(C(C(=O)O)NC(=O)CN)S,NCC(=O)NC(CS)C(=O)O,MFBYPDKTAJXHNI-VKHMYHEASA-N,178.21
C1(=NNC(=S)S1)N,Nc1n[nH]c(=S)s1,GDGIVSREGUOIJZ-UHFFFAOYSA-N,133.2
C1=NNC2=C1C(=NC=N2)[O-].[Na+],O=c1[nH]cnc2[nH]ncc12,PTJRZVJXXNYNLN-UHFFFAOYSA-M,158.09
CC(C(C(=O)O)N)O,CC(O)C(N)C(=O)O,AYFVYJQAPQTCCC-GBXIJSLDSA-N,119.12
C1=CNC2=C1C(=CC(=C2)F)F,Fc1cc(F)c2cc[nH]c2c1,MHICCULQVCEWFH-UHFFFAOYSA-N,153.13
C1=C(NC=N1)CCSC(=N)N,N=C(N)SCCc1cnc[nH]1,PEHSVUKQDJULKE-UHFFFAOYSA-N,170.24
CC(C)CC(C(=O)NCC(=O)O)N,CC(C)CC(N)C(=O)NCC(=O)O,LESXFEZIFXFIQR-LURJTMIESA-N,188.22
CCNCC(C1=CC(=CC=C1)O)O,CCNCC(O)c1cccc(O)c1,SQVIAVUSQAWMKL-UHFFFAOYSA-N,181.23
CN1C(=O)C=C(S1)Cl,Cn1sc(Cl)cc1=O,DHNRXBZYEKSXIM-UHFFFAOYSA-N,149.6
CC1=CC(=C(C=C1OC)CCN)OC,COc1cc(CCN)c(OC)cc1C,UNQQFDCVEMVQHM-UHFFFAOYSA-N,195.26
CC(C)C1=C(C(=CC=C1)C(C)C)O,CC(C)c1cccc(C(C)C)c1O,OLBCVFGFOZPWHH-UHFFFAOYSA-N,178.27
COC1=C(C=CC(=C1)C(CO)O)O,COc1cc(C(O)CO)ccc1O,FBWPWWWZWKPJFL-UHFFFAOYSA-N,184.19
CCOCCO,CCOCCO,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,90.12
C1CCNC(C1)C2=CN=CC=C2,c1cncc(C2CCCCN2)c1,MTXSIJUGVMTTMU-SNVBAGLBSA-N,162.23
CCOC(=O)CC(=O)C,CCOC(=O)CC(C)=O,XYIBRDXRRQCHLP-UHFFFAOYSA-N,130.139
C1=CC=C(C=C1)N=C=O,O=C=Nc1ccccc1,DGTNSSLYPYDJGL-UHFFFAOYSA-N,119.12
OS(=O)[O-].[K+],[O-][S+](O)O,DJEHXEMURTVAOE-UHFFFAOYSA-M,120.17
CC1=CN(C(=O)C=C1)C2=CC=CC=C2,Cc1ccc(=O)n(-c2ccccc2)c1,ISWRGOKTTBVCFA-UHFFFAOYSA-N,185.22
C1=CC=C(C=C1)C2C(O2)C3=CC=CC=C3,c1ccc(C2OC2c2ccccc2)cc1,ARCJQKUWGAZPFX-ZIAGYGMSSA-N,196.24
C1CC1NC2=NC(=NC(=N2)N)N,Nc1nc(N)nc(NC2CC2)n1,LVQDKIWDGQRHTE-UHFFFAOYSA-N,166.18
C1CN1CCNCCN,NCCNCCN1CC1,XJNAQZHMIAKQOK-UHFFFAOYSA-N,129.199
C1=C(C(=O)[N-]C(=O)N1)F.[Na+],O=c1[nH]cc(F)c(=O)[nH]1,XLBUSGPKSVRQSF-UHFFFAOYSA-M,152.06
C1COCCN1,C1COCCN1,YNAVUWVOSKDBBP-UHFFFAOYSA-N,87.12
CCCCCCC1=C(C=C(C=C1)O)O,CCCCCCc1ccc(O)cc1O,WFJIVOKAWHGMBH-UHFFFAOYSA-N,194.27
CCC(CC1=CNC2=CC=CC=C21)N,CCC(N)Cc1c[nH]c2ccccc12,ZXUMUPVQYAFTLF-UHFFFAOYSA-N,188.27
C(CC(=O)O)CO,O=C(O)CCCO,SJZRECIVHVDYJC-UHFFFAOYSA-N,104.1
CC1=C(SC=N1)CCCl,Cc1ncsc1CCCl,PCLITLDOTJTVDJ-UHFFFAOYSA-N,161.65
C(CC(C(=O)O)N)CNC(=O)N,NC(=O)NCCCC(N)C(=O)O,RHGKLRLOHDJJDR-BYPYZUCNSA-N,175.19
CC(C)(CC1=CC=CC=C1)NC,CNC(C)(C)Cc1ccccc1,RXQCGGRTAILOIN-UHFFFAOYSA-N,163.26
C1C2=CC=CC=C2C3=CC=CC=C31,c1ccc2c(c1)Cc1ccccc1-2,NIHNNTQXNPWCJQ-UHFFFAOYSA-N,166.22
CC(C)(C)C(=O)NCCCC(=O)O,CC(C)(C)C(=O)NCCCC(=O)O,SRPNQDXRVRCTNK-UHFFFAOYSA-N,187.24
C1OCOCO1,C1OCOCO1,BGJSXRVXTHVRSN-UHFFFAOYSA-N,90.08
CCOCCOC(=O)C,CCOCCOC(C)=O,SVONRAPFKPVNKG-UHFFFAOYSA-N,132.16
