canonicalsmiles,smiles,inchikey,molecularweight
C(CC=O)CC=O,O=CCCCC=O,SXRSQZLOMIGNAQ-UHFFFAOYSA-N,100.12
C(C(C(C(C(C=O)O)O)O)O)O.O,O=CC(O)C(O)C(O)C(O)CO,SPFMQWBKVUQXJV-BTVCFUMJSA-N,198.17
C=CCOCC1CO1,C=CCOCC1CO1,LSWYGACWGAICNM-UHFFFAOYSA-N,114.14
CN(C)CC(=O)O.Cl,CN(C)CC(=O)O,FKASAVXZZLJTNX-UHFFFAOYSA-N,139.58
CCC(C)C(C(=O)O)NC(=O)CN,CCC(C)C(NC(=O)CN)C(=O)O,KGVHCTWYMPWEGN-UHFFFAOYSA-N,188.22
CC1=CC(=C(C=C1)S)S,Cc1ccc(S)c(S)c1,NIAAGQAEVGMHPM-UHFFFAOYSA-N,156.3
CC(C)(C#N)O,CC(C)(O)C#N,MWFMGBPGAXYFAR-UHFFFAOYSA-N,85.1
C=CC(CCC(=O)O)N,C=CC(N)CCC(=O)O,PJDFLNIOAUIZSL-UHFFFAOYSA-N,129.16
CC(C(CCCCCC(=O)O)N)N,CC(N)C(N)CCCCCC(=O)O,KCEGBPIYGIWCDH-UHFFFAOYSA-N,188.27
COCC1(C(=O)C2CCN1CC2)CO,COCC1(CO)C(=O)C2CCN1CC2,BGBNULCRKBVAKL-UHFFFAOYSA-N,199.25
COC1=CC=CC=C1OC(CO)CO,COc1ccccc1OC(CO)CO,DTADPBLDQSWASV-UHFFFAOYSA-N,198.22
C(CN=C(N)NO)C(C(=O)O)N,NC(=NCCC(N)C(=O)O)NO,KOBHCUDVWOTEKO-VKHMYHEASA-N,176.17
CNCCC=CC1=CN=CC=C1,CNCCC=Cc1cccnc1,JUOSGGQXEBBCJB-GORDUTHDSA-N,162.23
CC(=CCCC(=CC=O)C)C,CC(C)=CCCC(C)=CC=O,WTEVQBCEXWBHNA-JXMROGBWSA-N,152.23
C1=CN=C(N=C1)F,Fc1ncccn1,WAVYAFBQOXCGSZ-UHFFFAOYSA-N,98.08
C1=CC=C(C=C1)OCCO,OCCOc1ccccc1,QCDWFXQBSFUVSP-UHFFFAOYSA-N,138.16
CC(=O)CBr,CC(=O)CBr,VQFAIAKCILWQPZ-UHFFFAOYSA-N,136.98
C[N+](C)(C)CC(=O)O.[Cl-],C[N+](C)(C)CC(=O)O,HOPSCVCBEOCPJZ-UHFFFAOYSA-N,153.61
C1CC1(C2=CC=C(C=C2)Cl)C(=O)O,O=C(O)C1(c2ccc(Cl)cc2)CC1,YAHLWSGIQJATGG-UHFFFAOYSA-N,196.63
CN1C2=C(NC1=O)NC(=O)N(C2=O)C,Cn1c(=O)[nH]c2[nH]c(=O)n(C)c2c1=O,NOFNCLGCUJJPKU-UHFFFAOYSA-N,196.16
C1=CC2=C(C=CO2)C3=C1C=CC(=O)O3,O=c1ccc2ccc3occc3c2o1,XDROKJSWHURZGO-UHFFFAOYSA-N,186.16
C(C1C(C(C(C(O1)O)O)O)O)O,OCC1OC(O)C(O)C(O)C1O,WQZGKKKJIJFFOK-DVKNGEFBSA-N,180.16
COC1=C(C=CC(=C1)C(C(=O)O)O)O,COc1cc(C(O)C(=O)O)ccc1O,CGQCWMIAEPEHNQ-QMMMGPOBSA-N,198.17
C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N,NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,IAIWVQXQOWNYOU-FPYGCLRLSA-N,198.14
C(CBr)Br,BrCCBr,PAAZPARNPHGIKF-UHFFFAOYSA-N,187.86
CC(C)C12CCC(O1)(CC2)C,CC(C)C12CCC(C)(CC1)O2,RFFOTVCVTJUTAD-UHFFFAOYSA-N,154.25
C(C1C(C(C(C(O1)O)F)O)O)O,OCC1OC(O)C(F)C(O)C1O,ZCXUVYAZINUVJD-AQJWJAQTSA-N,181.15
CCCCOC(=O)C(=C)C,C=C(C)C(=O)OCCCC,SOGAXMICEFXMKE-UHFFFAOYSA-N,142.2
CC(C)CC(CC(=O)O)CN,CC(C)CC(CN)CC(=O)O,AYXYPKUFHZROOJ-ZETCQYMHSA-N,159.23
C1=CC=C(C=C1)O,Oc1ccccc1,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,94.11
C1=CN=CN=C1,c1cncnc1,CZPWVGJYEJSRLH-UHFFFAOYSA-N,80.09
C1CSC(=N1)NS(=O)(=O)N,NS(=O)(=O)NC1=NCCS1,CFSSYZATGDLVQN-UHFFFAOYSA-N,181.2
COC1=CC=C(C=C1)O,COc1ccc(O)cc1,NWVVVBRKAWDGAB-UHFFFAOYSA-N,124.14
CN1C(=O)C2=C(NC(=O)N2)NC1=O,Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O,QFDRTQONISXGJA-UHFFFAOYSA-N,182.14
CC1C2=CC(=C(C=C2CCN1)O)O,CC1NCCc2cc(O)c(O)cc21,IBRKLUSXDYATLG-LURJTMIESA-N,179.22
C1=CC(=CC=C1O)S(=O)(=O)O,O=S(=O)(O)c1ccc(O)cc1,FEPBITJSIHRMRT-UHFFFAOYSA-N,174.18
C1=CN(C(=N1)[N+](=O)[O-])CC(CF)O,O=[N+]([O-])c1nccn1CC(O)CF,HIIJZYSUEJYLMX-JZRMKITLSA-N,188.15
C1=CC=C(C=C1)Cl,Clc1ccccc1,MVPPADPHJFYWMZ-UHFFFAOYSA-N,112.55
CNCCC1=CN=CN1.Cl.Cl,CNCCc1cnc[nH]1,AYUQICXJAMPXPF-UHFFFAOYSA-N,198.09
C1=CC2=C(C(=C1)N)C(=O)NNC2=O,Nc1cccc2c(=O)[nH][nH]c(=O)c12,HWYHZTIRURJOHG-UHFFFAOYSA-N,177.16
C(=O)([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],O=C(O)P(=O)(O)O,DFHAXXVZCFXGOQ-UHFFFAOYSA-K,191.95
C1=CC(=CC=C1CO)OC(F)F,OCc1ccc(OC(F)F)cc1,HSIDWXYUJAUALR-UHFFFAOYSA-N,174.14
CCCCCCCCC(=O)O,CCCCCCCCC(=O)O,FBUKVWPVBMHYJY-UHFFFAOYSA-N,158.24
COC(=O)CC1(CC2CCC2C1)CN,COC(=O)CC1(CN)CC2CCC2C1,ASBDKEXHKWHAPE-SLHIUPAKSA-N,197.27
CC(CC1=CC=CC=C1)NC.Cl,CNC(C)Cc1ccccc1,TWXDDNPPQUTEOV-UHFFFAOYSA-N,185.69
C(=O)(O)P(=O)(O)O,O=C(O)P(=O)(O)O,ZJAOAACCNHFJAH-UHFFFAOYSA-N,126.01
CCC1(CC(=O)NC1=O)C,CCC1(C)CC(=O)NC1=O,HAPOVYFOVVWLRS-UHFFFAOYSA-N,141.17
CC(=CC(=O)CCN(C)C)C.Cl,CC(C)=CC(=O)CCN(C)C,PCZNQBGBYMIXKL-UHFFFAOYSA-N,191.7
CC1CC(C(=O)C1=O)C,CC1CC(C)C(=O)C1=O,MIDXCONKKJTLDX-UHFFFAOYSA-N,126.15
COC(=O)CC(=O)OC,COC(=O)CC(=O)OC,BEPAFCGSDWSTEL-UHFFFAOYSA-N,132.11
C#CCNC1CCC2=CC=CC=C12,C#CCNC1CCc2ccccc21,RUOKEQAAGRXIBM-UHFFFAOYSA-N,171.24
C1C(C2C(O1)C(CO2)O)O,OC1COC2C(O)COC12,KLDXJTOLSGUMSJ-JGWLITMVSA-N,146.14
CC1C(=O)C(=C(O1)C)O,CC1OC(C)C(=O)C1=O,INAXVXBDKKUCGI-UHFFFAOYSA-N,128.13
CC1=CN=C(C=[N+]1[O-])C(=O)O,Cc1cnc(C(=O)O)c[n+]1[O-],DJQOOSBJCLSSEY-UHFFFAOYSA-N,154.12
C1=NC(=C(N1)C(=O)N)O,NC(=O)c1[nH]cnc1O,UEWSIIBPZOBMBL-UHFFFAOYSA-N,127.1
CON.Cl,CON,XNXVOSBNFZWHBV-UHFFFAOYSA-N,83.52
C1CCC2=NN=NN2CC1,C1CCc2nnnn2CC1,CWRVKFFCRWGWCS-UHFFFAOYSA-N,138.17
C(C(C(C(=O)O)O)C(=O)O)C(=O)O,O=C(O)CC(C(=O)O)C(O)C(=O)O,ODBLHEXUDAPZAU-UHFFFAOYSA-N,192.12
C1=CC(=CC(=C1)O)C(CC(=O)O)O,O=C(O)CC(O)c1cccc(O)c1,KHTAGVZHYUZYMF-UHFFFAOYSA-N,182.17
CCCCC(C(=O)O)N,CCCCC(N)C(=O)O,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,131.17
CCCCCCCCCC(=O)O,CCCCCCCCCC(=O)O,GHVNFZFCNZKVNT-UHFFFAOYSA-N,172.26
COC1=C(C=C(C=C1)CC=C)OC,C=CCc1ccc(OC)c(OC)c1,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,178.23
C(CC(=O)N)C(C(=O)O)N,NC(=O)CCC(N)C(=O)O,ZDXPYRJPNDTMRX-COGNOSNSSA-N,145.15
C1=CC=C(C=C1)C2C(=O)N=C(O2)N,NC1=NC(=O)C(c2ccccc2)O1,NRNCYVBFPDDJNE-UHFFFAOYSA-N,176.17
CS,CS,LSDPWZHWYPCBBB-UHFFFAOYSA-N,48.11
C1=CC=C(C=C1)CC(=O)NC(=O)N,NC(=O)NC(=O)Cc1ccccc1,XPFRXWCVYUEORT-UHFFFAOYSA-N,178.19
CC1CCC(C(C1)O)C(C)C,CC1CCC(C(C)C)C(O)C1,NOOLISFMXDJSKH-UHFFFAOYSA-N,156.26
CC(CCCC(C)(C)O)N.Cl,CC(N)CCCC(C)(C)O,JZNBMCOSOXIZJB-UHFFFAOYSA-N,181.7
C1=CC(=C(C=C1CCN)O)O,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,153.18
C1=CC=C(C=C1)C(C(=O)O)S,O=C(O)C(S)c1ccccc1,QYIGFZOHYGYBLX-SSDOTTSWSA-N,168.21
C1=CC=C(C(=C1)C(=O)N)O,NC(=O)c1ccccc1O,SKZKKFZAGNVIMN-UHFFFAOYSA-N,137.14
C1=CC(=CC=C1CCN)O,NCCc1ccc(O)cc1,DZGWFCGJZKJUFP-UHFFFAOYSA-N,137.18
CC(CC(=O)[O-])O,CC(O)CC(=O)O,WHBMMWSBFZVSSR-GSVOUGTGSA-M,103.1
[S-2],[S-2],UCKMPCXJQFINFW-UHFFFAOYSA-N,32.07
[H+].C1=CC(=CN=C1)C(=O)[O-],[H+],PVNIIMVLHYAWGP-UHFFFAOYSA-N,123.11
CC(C)(C)C1CC(=O)N(N1O)C,CN1C(=O)CC(C(C)(C)C)N1O,WSOJYUWEGFKKBH-ZCFIWIBFSA-N,172.22
C1CC2=C(C=CC(=C2C1)Cl)O,Oc1ccc(Cl)c2c1CCC2,ATAJVFBUUIBIEO-UHFFFAOYSA-N,168.62
C(C(C(=O)[O-])[NH3+])N(N=O)O,NC(CN(O)N=O)C(=O)O,MLFKVJCWGUZWNV-REOHCLBHSA-N,149.11
N(=O)[O-].[Na+],O=NO,LPXPTNMVRIOKMN-UHFFFAOYSA-M,68.995
CC(CC1=CC=CC=C1)NC.Cl,CNC(C)Cc1ccccc1,TWXDDNPPQUTEOV-FVGYRXGTSA-N,185.69
C(CC(=O)O)C(C(=O)O)O,O=C(O)CCC(O)C(=O)O,HWXBTNAVRSUOJR-GSVOUGTGSA-N,148.11
C1CC(=O)N(C1)CC(=O)N,NC(=O)CN1CCCC1=O,GMZVRMREEHBGGF-UHFFFAOYSA-N,142.16
CCCC(=O)NCC(=O)O,CCCC(=O)NCC(=O)O,WPSSBBPLVMTKRN-UHFFFAOYSA-N,145.16
C1=CC(=CC=C1O)O,Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,110.11
C(=O)(C(Cl)(Cl)Cl)O,O=C(O)C(Cl)(Cl)Cl,YNJBWRMUSHSURL-UHFFFAOYSA-N,163.38
CC(C(CCCCCC(=O)[O-])[NH3+])[NH3+],CC(N)C(N)CCCCCC(=O)O,KCEGBPIYGIWCDH-JGVFFNPUSA-O,189.28
C[N+]1=CC=CC(=C1)C(=O)N.[Cl-],C[n+]1cccc(C(N)=O)c1,BWVDQVQUNNBTLK-UHFFFAOYSA-N,172.61
C1CCN(CC1)C(=N)N,N=C(N)N1CCCCC1,QUUYRYYUKNNNNS-UHFFFAOYSA-N,127.19
CC1C(O1)P(=O)(O)O.[Na+],CC1OC1P(=O)(O)O,JHXHBFDOOUMZSP-UHFFFAOYSA-N,161.05
C1C2=CC=CC=C2C3=C1C=C(C=C3)O,Oc1ccc2c(c1)Cc1ccccc1-2,ZDOIAPGLORMKTR-UHFFFAOYSA-N,182.22
CC(C(C1=CC=CC=C1)O)NC,CNC(C)C(O)c1ccccc1,KWGRBVOPPLSCSI-WCBMZHEXSA-N,165.23
C(=N)=O,N=C=O,OWIKHYCFFJSOEH-UHFFFAOYSA-N,43.025
C1=CC2=C(C(=C1)N)C(=O)N[N-]C2=O.[Na+],Nc1cccc2c(=O)[nH][nH]c(=O)c12,RVJVDCVIJCBUTH-UHFFFAOYSA-M,199.14
C1=CC(=CC=C1C(CN)O)O,NCC(O)c1ccc(O)cc1,QHGUCRYDKWKLMG-QMMMGPOBSA-N,153.18
N(=O)[O-].[Ag+],O=NO,KKKDGYXNGYJJRX-UHFFFAOYSA-M,153.874
CC1C(O1)P(=O)([O-])[O-].[Ca+2],CC1OC1P(=O)(O)O,YMZJBJPWTXJQMR-GVOALSEPSA-L,176.12
C1CCC(C1)(C(=O)O)N,NC1(C(=O)O)CCCC1,NILQLFBWTXNUOE-UHFFFAOYSA-N,129.16
C(CC(=O)N)C(C(=O)O)N,NC(=O)CCC(N)C(=O)O,ZDXPYRJPNDTMRX-UHFFFAOYSA-N,146.14
C(C(C(=O)O)N)O,NC(CO)C(=O)O,MTCFGRXMJLQNBG-UWTATZPHSA-N,105.09
C1CCNC(C1)C(=O)O,O=C(O)C1CCCCN1,HXEACLLIILLPRG-UHFFFAOYSA-N,129.16
C1CCNC(C1)C#N.Cl,N#CC1CCCCN1,DSAFWCGACOBUOJ-UHFFFAOYSA-N,146.62
C1=C(NN=C1)CCN,NCCc1ccn[nH]1,JXDFEQONERDKSS-UHFFFAOYSA-N,111.15
CC1=C(C(=NN1)Cl)[N+](=O)[O-],Cc1[nH]nc(Cl)c1[N+](=O)[O-],ZCHRCALASPNJEQ-UHFFFAOYSA-N,161.55
CC=C,C=CC,QQONPFPTGQHPMA-UHFFFAOYSA-N,42.08
CC(C)C(C(=O)O)NC(=O)C(C)N,CC(N)C(=O)NC(C(=O)O)C(C)C,LIWMQSWFLXEGMA-WDSKDSINSA-N,188.22
CN(CC#C)CC1=CC=CC=C1,C#CCN(C)Cc1ccccc1,DPWPWRLQFGFJFI-UHFFFAOYSA-N,159.23
O=O,O=O,MYMOFIZGZYHOMD-UHFFFAOYSA-N,31.999
C(#N)I,N#CI,WPBXOELOQKLBDF-UHFFFAOYSA-N,152.922
C(C(=O)O)S(=O)(=O)O,O=C(O)CS(=O)(=O)O,AGGIJOLULBJGTQ-UHFFFAOYSA-N,140.12
CCCCC(CC)(CO)CO,CCCCC(CC)(CO)CO,DSKYSDCYIODJPC-UHFFFAOYSA-N,160.25
CN(CCOP(=O)(O)O)C(=N)N,CN(CCOP(=O)(O)O)C(=N)N,FOIPWTMKYXWFGC-UHFFFAOYSA-N,197.13
C(=O)=O,O=C=O,CURLTUGMZLYLDI-UHFFFAOYSA-N,44.009
C1CNCC1C=CC2=CN=CN=C2,C(=CC1CCNC1)c1cncnc1,FNEHSHNEXMPCLJ-VWCDRPFISA-N,175.23
CCN(CC)N=O,CCN(CC)N=O,WBNQDOYYEUMPFS-UHFFFAOYSA-N,102.14
[Li+].C1=CSC(=C1)C(=O)[O-],O=C(O)c1cccs1,SQEHCNOBYLQFTG-UHFFFAOYSA-M,134.1
C1=CC2=C(C=C1Cl)NC(=O)O2,O=c1[nH]c2cc(Cl)ccc2o1,TZFWDZFKRBELIQ-UHFFFAOYSA-N,169.56
C(C(F)(F)Cl)(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl,DDMOUSALMHHKOS-UHFFFAOYSA-N,170.92
C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,O=c1ccc2cc3ccoc3cc2o1,ZCCUUQDIBDJBTK-UHFFFAOYSA-N,186.16
C1CNCC2=C1C(=O)NO2,O=c1[nH]oc2c1CCNC2,ZXRVKCBLGJOCEE-UHFFFAOYSA-N,140.14
COC(CC1=CC=C(C=C1)N)C(=O)O,COC(Cc1ccc(N)cc1)C(=O)O,QLJYLJGYIDIJPT-VIFPVBQESA-N,195.21
C1CC2C(C(C1O2)C(=O)O)C(=O)O,O=C(O)C1C2CCC(O2)C1C(=O)O,GXEKYRXVRROBEV-UHFFFAOYSA-N,186.16
CC1=CC=C(C=C1)[O-].[Na+],Cc1ccc(O)cc1,ZECBPBHBGNLLMU-UHFFFAOYSA-M,130.12
C1=NC2=C(N1)C(=O)NC(=N2)N,Nc1nc2nc[nH]c2c(=O)[nH]1,UYTPUPDQBNUYGX-UHFFFAOYSA-N,151.13
CCOC1=CC=C(C=C1)NC(=O)C,CCOc1ccc(NC(C)=O)cc1,CPJSUEIXXCENMM-UHFFFAOYSA-N,179.22
CON,CON,GMPKIPWJBDOURN-UHFFFAOYSA-N,47.057
CC(C1=CC(=CC=C1)O)N(C)C,CC(c1cccc(O)c1)N(C)C,GQZXRLWUYONVCP-QMMMGPOBSA-N,165.23
C1=CC(=C(C=C1N)C(=O)O)[O-],Nc1ccc(O)c(C(=O)O)c1,KBOPZPXVLCULAV-UHFFFAOYSA-M,152.13
CC1=CCC(CC1)(C(C)C)O,CC1=CCC(O)(C(C)C)CC1,WRYLYDPHFGVWKC-UHFFFAOYSA-N,154.25
CC1(C2CCC1(C(C2)O)C)C,CC1(C)C2CCC1(C)C(O)C2,DTGKSKDOIYIVQL-OYNCUSHFSA-N,154.25
C1CN(CC2=CC=CC=C21)C(=N)N,N=C(N)N1CCc2ccccc2C1,JWPGJSVJDAJRLW-UHFFFAOYSA-N,175.23
COC1=C(C=CC(=C1)CCN)O,COc1cc(CCN)ccc1O,DIVQKHQLANKJQO-UHFFFAOYSA-N,167.2
CN(C)CCO,CN(C)CCO,UEEJHVSXFDXPFK-UHFFFAOYSA-N,89.14
CC(C)CC(C(=O)O)O,CC(C)CC(O)C(=O)O,LVRFTAZAXQPQHI-YFKPBYRVSA-N,132.16
CN(C)C=O,CN(C)C=O,ZMXDDKWLCZADIW-UHFFFAOYSA-N,73.09
CC1=NC=C(C(=C1O)C=O)CO,Cc1ncc(CO)c(C=O)c1O,RADKZDMFGJYCBB-UHFFFAOYSA-N,167.16
[O-2].[O-]S(=O)(=O)[O-].[V+4],[O-2],RBFRVUKIVGOWND-UHFFFAOYSA-L,163.01
CC(CN(CC(C)O)CC(C)O)O,CC(O)CN(CC(C)O)CC(C)O,SLINHMUFWFWBMU-UHFFFAOYSA-N,191.27
C(CC(C(F)F)(C(=O)O)N)CN,NCCCC(N)(C(=O)O)C(F)F,VLCYCQAOQCDTCN-UHFFFAOYSA-N,182.17
C1C2N1C(=O)NC2=N,N=C1NC(=O)N2CC12,BIXBBIPTYBJTRY-UHFFFAOYSA-N,111.1
COC(=O)C=C,C=CC(=O)OC,BAPJBEWLBFYGME-UHFFFAOYSA-N,86.09
CCC#N,CCC#N,FVSKHRXBFJPNKK-UHFFFAOYSA-N,55.08
CC1C(O1)P(=O)(O)O,CC1OC1P(=O)(O)O,YMDXZJFXQJVXBF-STHAYSLISA-N,138.06
CCCCOCCO,CCCCOCCO,POAOYUHQDCAZBD-UHFFFAOYSA-N,118.17
CCCC(=O)CCC,CCCC(=O)CCC,HCFAJYNVAYBARA-UHFFFAOYSA-N,114.19
CC(C1=CC=CC=C1)NN,CC(NN)c1ccccc1,HHRZAEJMHSGZNP-UHFFFAOYSA-N,136.19
C1=CC=C(C=C1)N=NC2=CC=CC=C2,c1ccc(N=Nc2ccccc2)cc1,DMLAVOWQYNRWNQ-UHFFFAOYSA-N,182.22
[O-2].[Ca+2],[O-2],BRPQOXSCLDDYGP-UHFFFAOYSA-N,56.08
C(=O)(N)N,NC(N)=O,XSQUKJJJFZCRTK-OUBTZVSYSA-N,61.048
O=Cl[O],[O][Cl+][O-],OSVXSBDYLRYLIG-UHFFFAOYSA-N,67.45
CC1=CC=C(C=C1)S(=O)(=O)N,Cc1ccc(S(N)(=O)=O)cc1,LMYRWZFENFIFIT-UHFFFAOYSA-N,171.22
C1=CC=C(C=C1)CC(COC(=O)N)N,NC(=O)OCC(N)Cc1ccccc1,UCTRAOBQFUDCSR-UHFFFAOYSA-N,194.23
CC(=O)NC(CS)C(=O)O,CC(=O)NC(CS)C(=O)O,PWKSKIMOESPYIA-BYPYZUCNSA-N,163.2
C1=CC=C(C(=C1)CN)O,NCc1ccccc1O,KPRZOPQOBJRYSW-UHFFFAOYSA-N,123.15
[C-]#[NH+],C#N,QIUBLANJVAOHHY-UHFFFAOYSA-N,27.025
O(F)F,FOF,UJMWVICAENGCRF-UHFFFAOYSA-N,53.996
C1C(C(C(C(O1)(CO)O)O)O)O,OCC1(O)OCC(O)C(O)C1O,LKDRXBCSQODPBY-JDJSBBGDSA-N,180.16
OP(=O)(O)OP(=O)(O)O,O=P(O)(O)OP(=O)(O)O,XPPKVPWEQAFLFU-UHFFFAOYSA-N,177.98
C(C(=CC(=O)O)C(=O)O)C(=O)O,O=C(O)C=C(CC(=O)O)C(=O)O,GTZCVFVGUGFEME-IWQZZHSRSA-N,174.11
CC1=CC(=CC=C1)O,Cc1cccc(O)c1,RLSSMJSEOOYNOY-UHFFFAOYSA-N,108.14
C(CC(C(=O)O)O)CC(=O)O,O=C(O)CCCC(O)C(=O)O,OTTXIFWBPRRYOG-UHFFFAOYSA-N,162.14
C(C(C(C(CO)O)O)O)O,OCC(O)C(O)C(O)CO,HEBKCHPVOIAQTA-QWWZWVQMSA-N,152.15
C1CCC(C(C1)N)O.Cl,NC1CCCCC1O,LKKCSUHCVGCGFA-IBTYICNHSA-N,151.63
CC1=CC(=O)C(C(=O)O1)C(=O)C,CC(=O)C1C(=O)C=C(C)OC1=O,PGRHXDWITVMQBC-UHFFFAOYSA-N,168.15
C(C(=O)O)(Cl)Br,O=C(O)C(Cl)Br,GEHJBWKLJVFKPS-UHFFFAOYSA-N,173.39
[CH]F,[CH]F,YUCFVHQCAFKDQG-UHFFFAOYSA-N,32.017
[O-2].[Zn+2],[O-2],RNWHGQJWIACOKP-UHFFFAOYSA-N,81.4
C(C(C(C(C(C=O)F)O)O)O)O,O=CC(F)C(O)C(O)C(O)CO,AOYNUTHNTBLRMT-UHFFFAOYSA-N,182.15
C1=CC=C(C=C1)NC2=CC=C(C=C2)N,Nc1ccc(Nc2ccccc2)cc1,ATGUVEKSASEFFO-UHFFFAOYSA-N,184.24
CNCC(C1=CC=C(C=C1)O)O,CNCC(O)c1ccc(O)cc1,YRCWQPVGYLYSOX-UHFFFAOYSA-N,167.2
C(C(C(C(C(C(=O)F)O)O)O)O)O,O=C(F)C(O)C(O)C(O)C(O)CO,IJPVCOQVFLNLAP-SQOUGZDYSA-N,198.15
CCC(O)O,CCC(O)O,ULWHHBHJGPPBCO-UHFFFAOYSA-N,76.09
CP(=O)(OC1CCCCC1)F,CP(=O)(F)OC1CCCCC1,SNTRKUOVAPUGAY-UHFFFAOYSA-N,180.16
C(C=O)C(C(C(CO)O)O)O,O=CCC(O)C(O)C(O)CO,VRYALKFFQXWPIH-PBXRRBTRSA-N,164.16
C(#N)N.[Ca+2],N#CN,STRTXDFFNXSZQB-UHFFFAOYSA-N,82.12
C(=O)(N)N,NC(N)=O,XSQUKJJJFZCRTK-NJFSPNSNSA-N,62.048
C1=CC(=C(C=C1N)O)C(=O)O,Nc1ccc(C(=O)O)c(O)c1,WUBBRNOQWQTFEX-UHFFFAOYSA-N,153.14
C1=CC(=C(C=C1Cl)Cl)O,Oc1ccc(Cl)cc1Cl,HFZWRUODUSTPEG-UHFFFAOYSA-N,163.0
C(CS(=O)(=O)O)S,O=S(=O)(O)CCS,ZNEWHQLOPFWXOF-UHFFFAOYSA-N,142.2
C1=CC=C(C=C1)CC(C(=O)O)N,NC(Cc1ccccc1)C(=O)O,COLNVLDHVKWLRT-QMMMGPOBSA-N,165.19
C1CC1,C1CC1,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,42.08
C[N+](C)(C)CC(=O)[O-],C[N+](C)(C)CC(=O)[O-],KWIUHFFTVRNATP-UHFFFAOYSA-N,117.15
CC1=CC(=O)NS(=O)(=O)O1,CC1=CC(=O)NS(=O)(=O)O1,YGCFIWIQZPHFLU-UHFFFAOYSA-N,163.15
C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],NYTOUQBROMCLBJ-UHFFFAOYSA-N,196.03
C1C(CC2=CC=CC=C21)NCC(=O)N,NC(=O)CNC1Cc2ccccc2C1,MNLULKBKWKTZPE-UHFFFAOYSA-N,190.24
C1=CC(=CC(=C1)N)C(=O)N,NC(=O)c1cccc(N)c1,GSCPDZHWVNUUFI-UHFFFAOYSA-N,136.15
CC(CC1=CC=C(C=C1)OC)N,COc1ccc(CC(C)N)cc1,NEGYEDYHPHMHGK-UHFFFAOYSA-N,165.23
C[N+](C)(C)CCCC(=O)OC,COC(=O)CCC[N+](C)(C)C,XQSLKIBWQSTAGK-UHFFFAOYSA-N,160.23
COC(=O)CCC(=O)CN,COC(=O)CCC(=O)CN,YUUAYBAIHCDHHD-UHFFFAOYSA-N,145.16
C1=CC=C(C(=C1)CC(=O)O)O,O=C(O)Cc1ccccc1O,CCVYRRGZDBSHFU-UHFFFAOYSA-N,152.15
C(CC(=O)O)CN,NCCCC(=O)O,BTCSSZJGUNDROE-UHFFFAOYSA-N,103.12
CNC(CC(=O)O)C(=O)O,CNC(CC(=O)O)C(=O)O,HOKKHZGPKSLGJE-GSVOUGTGSA-N,147.13
C1CNC(CN1)C(=O)O,O=C(O)C1CNCCN1,JSSXHAMIXJGYCS-UHFFFAOYSA-N,130.15
CC(C(=O)O)C(=O)O,CC(C(=O)O)C(=O)O,ZIYVHBGGAOATLY-UHFFFAOYSA-N,118.09
CCOCC,CCOCC,RTZKZFJDLAIYFH-UHFFFAOYSA-N,74.12
CN1CN(C(=S)SC1)C,CN1CSC(=S)N(C)C1,QAYICIQNSGETAS-UHFFFAOYSA-N,162.3
CC1=CC(=C(C=C1)C(C)C)O,Cc1ccc(C(C)C)c(O)c1,MGSRCZKZVOBKFT-UHFFFAOYSA-N,150.22
CCCC(CCC)C(=O)O,CCCC(CCC)C(=O)O,NIJJYAXOARWZEE-UHFFFAOYSA-N,144.21
CSCCC(C(=O)O)N,CSCCC(N)C(=O)O,FFEARJCKVFRZRR-JJZBXVGDSA-N,148.21
CC(CC1=CC=CC=C1)N,CC(N)Cc1ccccc1,KWTSXDURSIMDCE-UHFFFAOYSA-N,135.21
C1CN1P(=S)(N2CC2)N3CC3,S=P(N1CC1)(N1CC1)N1CC1,FOCVUCIESVLUNU-UHFFFAOYSA-N,189.22
C(CC(=O)[O-])CO.[K+],O=C(O)CCCO,TXSIWDVUJVMMKM-UHFFFAOYSA-M,142.19
CC(CC1=CC=CC=C1)NC,CNC(C)Cc1ccccc1,MYWUZJCMWCOHBA-SECBINFHSA-N,149.23
CC1=CC(=C(C(=C1)C)C(=O)C)C,CC(=O)c1c(C)cc(C)cc1C,XWCIICLTKWRWCI-UHFFFAOYSA-N,162.23
C1=CC=C(C=C1)C(C#N)O,N#CC(O)c1ccccc1,NNICRUQPODTGRU-QMMMGPOBSA-N,133.15
